2023-07-10 09:17:23,289 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfaceParkade/OpenPoleCallBack,参数描述{"dto":{"StartTime":"2023-07-04 00:00:00","EndTime":"2023-07-05 00:00:00"}}
2023-07-10 09:42:41,365 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/UploadSqliteDB,参数描述{}
2023-07-10 09:52:27,001 [8] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/UploadSqliteDB,参数描述{}
2023-07-10 10:03:41,241 [32] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/UploadSqliteDB,参数描述{}
2023-07-10 10:04:27,307 [10] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/UploadSqliteDB,参数描述{}
2023-07-10 10:24:47,322 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetInspectorsInfo,参数描述{"input":{"access_token":"f910cacb-91e0-4a27-97c2-2b0ff7f384a3"}}
2023-07-10 10:31:41,138 [12] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetInspectorsInfo,参数描述{"input":{"access_token":"f910cacb-91e0-4a27-97c2-2b0ff7f384a3"}}
2023-07-10 10:34:00,840 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetInspectorsInfo,参数描述{"input":{"access_token":"f910cacb-91e0-4a27-97c2-2b0ff7f384a3"}}
2023-07-10 10:35:16,874 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetInspectorsInfo,参数描述{"input":{"access_token":"f910cacb-91e0-4a27-97c2-2b0ff7f384a3"}}
2023-07-10 10:36:30,582 [7] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetInspectorsInfo,参数描述{"input":{"access_token":"f910cacb-91e0-4a27-97c2-2b0ff7f384a3"}}
2023-07-10 10:37:34,739 [8] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/GetInspectorsInfo,参数描述{"input":{"access_token":"f910cacb-91e0-4a27-97c2-2b0ff7f384a3"}}
2023-07-10 11:01:45,331 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_token=4402-ad85-9bd634951fcb&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{}
2023-07-10 11:02:12,001 [14] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_token=4402-ad85-9bd634951fcb&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"OldVersion":"V2.1.2.20220325"}
2023-07-10 11:04:10,533 [12] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?OldVersion=V2.1.2.20220325&PDA=357576032513424,参数描述{"OldVersion":"V2.1.2.20220325","PDA":"357576032513424"}
2023-07-10 11:04:42,441 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"OldVersion":"V2.1.2.20220325","PDA":"357576032513424","Type":2}
2023-07-10 11:12:56,852 [12] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=4402-ad85-9bd634951fcb&OldVersion=V2.1.2.20220325&PDA=357576032513424,参数描述{"OldVersion":"V2.1.2.20220325","PDA":"357576032513424","access_tokens":"4402-ad85-9bd634951fcb"}
2023-07-10 11:17:36,169 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=4402-ad85-9bd634951fcb&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"access_tokens":"4402-ad85-9bd634951fcb","OldVersion":"V2.1.2.20220325","PDA":"357576032513424","Type":2}
2023-07-10 11:18:25,295 [11] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=4402-ad85-9bd634951fcb&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"access_tokens":"4402-ad85-9bd634951fcb","OldVersion":"V2.1.2.20220325","PDA":"357576032513424","Type":2}
2023-07-10 13:10:27,651 [19] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"access_tokens":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.1.2.20220325","PDA":"357576032513424","Type":2}
2023-07-10 13:11:52,161 [22] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"access_tokens":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.1.2.20220325","PDA":"357576032513424","Type":2}
2023-07-10 13:19:15,340 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"access_tokens":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.1.2.20220325","PDA":"357576032513424","Type":2}
2023-07-10 13:21:19,788 [13] INFO  log - 来自::1的请求,请求地址http://localhost:56882/api/InterfacePDAInspectors/CheckInspVersion?access_tokens=f61ce03f-a8e6-47b6-af82-0192810c1a9d&OldVersion=V2.1.2.20220325&PDA=357576032513424&Type=2,参数描述{"access_tokens":"f61ce03f-a8e6-47b6-af82-0192810c1a9d","OldVersion":"V2.1.2.20220325","PDA":"357576032513424","Type":2}
